t,S,I,R 
123,0.40664963893737344,0.00018167865140349763,0.5931686824112231 
124,0.4066281884958867,0.0001679620956460419,0.5932038494084673 
125,0.4066083589964095,0.00015528039500384668,0.5932363606085866 
126,0.4065900274856016,0.00014355534716237588,0.593266417167236 
127,0.4065730812505391,0.00013271511818570172,0.5932942036312753 
128,0.4065574159034151,0.00012269316670739154,0.5933198909298776 
129,0.40654293402719344,0.00011342747457809934,0.5933436384982285 
130,0.4065295461452194,0.00010486098760989398,0.5933655928671707 
131,0.406517169687131,9.6941023573821e-05,0.5933858892892951 
132,0.40650572808293184,8.961874254104653e-05,0.5934046531745271 
133,0.40649515073458287,8.284909447424519e-05,0.5934220001709428 
134,0.40648537271046126,7.659062208855655e-05,0.5934380366674502 
135,0.40647633390493776,7.080494122169938e-05,0.5934528611538405 
136,0.4064679781751594,6.54562023712689e-05,0.5934665656224694 
137,0.4064602538647192,6.05114039163878e-05,0.5934792347313644 
138,0.40645311312288607,5.593996636657713e-05,0.5934909469107473 
139,0.40644651195208215,5.171377290788861e-05,0.5935017742750099 
140,0.4064404094609942,4.780668942445613e-05,0.5935117838495814 
141,0.4064347680730464,4.419469049878938e-05,0.5935210372364548 
142,0.4064295529509003,4.085550127359505e-05,0.5935295915478261 
143,0.4064247316787536,3.776839789219392e-05,0.5935374999233543 
144,0.40642027461011276,3.491441761214826e-05,0.5935448109722751 
145,0.40641615454482777,3.2276156004951945e-05,0.5935515692991673 
146,0.40641234624636546,2.9837465298625963e-05,0.5935578162883359 
147,0.40640882587158855,2.7583098726416907e-05,0.593563591029685 
148,0.40640557162330454,2.5499109406095112e-05,0.5935689292672894 
149,0.4064025632605696,2.357254437798046e-05,0.5935738641950524 
150,0.40639978211023614,2.1791453142231998e-05,0.5935784264366216 
151,0.40639721122672584,2.0144991278557366e-05,0.5935826437819955 
152,0.40639483467550497,1.8622960503478984e-05,0.5935865423639916 
153,0.4063926375840366,1.7215842305510717e-05,0.5935901465736578 
154,0.4063906062339845,1.5914856290195773e-05,0.5935934789097252 
155,0.4063887284206042,1.4712188162059698e-05,0.5935965593912337 
156,0.4063869925713326,1.3600429542977947e-05,0.5935994069991244 
157,0.40638538788953893,1.2572668978299764e-05,0.5936020394414827 
158,0.4063839043844434,1.162251064477896e-05,0.5936044731049118 
159,0.4063825330922672,1.0744214544717547e-05,0.593606722693188 
